OBJECTID,FacilityID,FeederID,Installati,ServiceCur,Status,CONSTRUC_1,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
889,MTR-889,RMT002,0,0,A,Underground,{2BEE67AD-C664-414B-AA18-435BF66F6AD2},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77096277,-88.17798073
890,MTR-890,RMT002,0,0,A,Underground,{809365DF-72D0-4C2E-B6A6-0E69FD363D7F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77091201,-88.177928
891,MTR-891,RMT002,31536000000,0,A,Underground,{9639D2B4-CF81-46A7-916E-30D7D141664D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77092175,-88.17750051
892,MTR-892,RMT002,31536000000,0,A,Underground,{76C5F176-01A4-490B-8CF0-BB6604010F21},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77090588,-88.17743139
893,MTR-893,RMT002,94694400000,0,A,Underground,{64A815BE-A553-4310-B63E-E41F2A901961},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76796931,-88.17823496
894,MTR-894,RMT002,31536000000,0,A,Underground,{C79167D0-7A51-46DF-8DA4-50671CC35538},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76802384,-88.17813976
895,MTR-895,RMT002,94694400000,0,A,Underground,{416E1BC7-7CC5-4CBF-93E0-95BAB576A763},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76813248,-88.17772675
896,MTR-896,RMT002,31536000000,0,A,Underground,{6D9A17DE-E151-487B-AF09-D3E6DF6C2245},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76816222,-88.17780022
897,MTR-897,RMT002,31536000000,0,A,Underground,{2A854AE4-83C3-484D-8B20-6E4A8B917D47},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76836954,-88.17790468
898,MTR-898,RMT002,31536000000,0,A,Underground,{AFFB4EEA-8D3C-4424-B066-84AB09FA9FE7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7686644,-88.17796825
899,MTR-899,RMT002,31536000000,0,A,Underground,{66F1E1F9-7157-468F-B1F5-A6AFF078A9C0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76896655,-88.17785194
900,MTR-900,RMT002,31536000000,0,A,Underground,{E2DFFBB3-A40F-413C-B031-4BBA647B4A9E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7690424,-88.17825337
901,MTR-901,RMT002,31536000000,0,A,Underground,{CD081A5D-3F75-4701-A497-070773071C72},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76870105,-88.17832051
902,MTR-902,RMT002,31536000000,0,A,Underground,{16011537-E879-476C-BBC2-E8E86F23CD89},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7686651,-88.17835674
903,MTR-903,RMT002,31536000000,0,A,Underground,{565013E9-FEF1-4E3E-8C4F-1113A0C391E6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76833324,-88.17828444
904,MTR-904,RMT002,31536000000,0,A,Underground,{2B9C9FBE-2ABA-42DD-BB49-23A316A6D279},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7681995,-88.17832614
905,MTR-905,RMT002,31536000000,0,A,Underground,{D4F86BCF-D3EA-4DAE-B112-FB999C9D1A72},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76907262,-88.17823019
906,MTR-906,RMT002,31536000000,0,A,Underground,{60E0EA7A-124F-4F3F-9CEC-06CCC1077C41},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76937117,-88.17812401
907,MTR-907,RMT002,31536000000,0,A,Underground,{DCDBFA48-AD10-4AF8-8290-867206E55195},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7695978,-88.17803901
908,MTR-908,RMT002,31536000000,0,A,Underground,{C015A4EB-08D7-4201-8DA4-B849EA37D9B0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76965888,-88.17808489
909,MTR-909,RMT002,0,0,A,Underground,{CD42825D-810B-423C-8DE5-1CA179DB48E7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76995943,-88.17795746
910,MTR-910,RMT002,31536000000,0,A,Underground,{A580A325-E519-4F8B-9F82-2ADB74EE0E98},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76991588,-88.17759168
911,MTR-911,RMT002,0,0,A,Underground,{367C6D2F-2E87-484B-B80A-B0CE69AE0A10},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76955084,-88.177588
912,MTR-912,RMT002,94694400000,0,A,Underground,{EBF8D34B-BB23-4D04-8E86-38601CAF76D6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76939509,-88.17743592
913,MTR-913,RMT002,31536000000,0,A,Underground,{58DCE2D7-DA5D-4655-A759-8829DDF5CD6B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7692352,-88.17761765
914,MTR-914,RMT002,31536000000,0,A,Underground,{955810EA-2C9D-493C-A133-B9A8EFEDCD6A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76918769,-88.17772991
915,MTR-915,RMT002,31536000000,0,A,Underground,{1D5DC2FD-F508-410E-86CA-8D8D2A83EAA2},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77031703,-88.17774881
916,MTR-916,RMT002,0,0,A,Underground,{2838B088-D691-416D-A789-28F1BB9F311A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77003163,-88.17795062
917,MTR-917,RMT002,31536000000,0,A,Underground,{68E9AFD7-975A-434A-B972-9DD7549A9BD5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77031165,-88.17764342
918,MTR-918,RMT002,31536000000,0,A,Underground,{C6AF505B-80D2-499E-AB64-8518CD4584C9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77028653,-88.17714603
919,MTR-919,RMT002,31536000000,0,A,Underground,{E7DAEB0F-B2C1-497E-896C-8251E85D8223},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77029296,-88.17709533
920,MTR-920,RMT002,31536000000,0,A,Underground,{577C4AE5-FE4D-4E1A-AC53-D011003936DA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77034254,-88.17676576
921,MTR-921,RMT002,31536000000,0,A,Underground,{787A1055-3A61-45EC-B585-A22E2CF806CF},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77024148,-88.17669289
922,MTR-922,RMT002,31536000000,0,A,Underground,{2E95D2AB-0B05-44BC-A9A0-0D98B816AA9A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76985502,-88.17661432
923,MTR-923,RMT002,31536000000,0,A,Underground,{BE152A04-0910-46B6-A0A6-F854DD95DD7F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77009252,-88.17701503
924,MTR-924,RMT002,0,0,A,Underground,{F101420B-B972-4005-8B20-3163B7821478},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77003899,-88.17719573
925,MTR-925,RMT002,126230400000,0,A,Underground,{79828927-5A17-401D-825D-5399B097100E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.76980654,-88.17672081
926,MTR-926,RMT002,935020800000,0,A,Underground,{AC4FF124-9196-4848-9E9F-6EC8CF63EB84},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77845894,-88.1770885
927,MTR-927,RMT002,935020800000,0,A,Underground,{0FF7C863-752A-432F-926C-A4BD441155E0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77847271,-88.17698168
928,MTR-928,RMT002,935020800000,0,A,Underground,{50658058-A545-41B6-9683-96D1662B1E8E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77791664,-88.17670093
929,MTR-929,RMT002,935020800000,0,A,Underground,{49C42C05-4C55-401D-8659-36E7CB0F7395},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7779758,-88.17656011
930,MTR-930,RMT002,935020800000,0,A,Underground,{1B7542A1-4D80-4EEC-89FA-CC8E1EAD5AD7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77775588,-88.17669379
931,MTR-931,RMT002,935020800000,0,A,Underground,{3E366988-C394-49A7-8028-1804A590C4AC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7777114,-88.17646855
932,MTR-932,RMT002,935020800000,0,A,Underground,{A628E17D-5352-4795-BD94-2B57569C0B54},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7779045,-88.17604821
933,MTR-933,RMT002,935020800000,0,A,Underground,{125F4F06-8B84-4D18-9D7E-C6F08C646573},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77795185,-88.17591933
934,MTR-934,RMT002,935020800000,0,A,Underground,{F42EE628-815F-412A-B015-7004AC7FAE76},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77810066,-88.17561821
935,MTR-935,RMT002,935020800000,0,A,Underground,{B9A46F18-CE8C-45D3-9C1C-2A9932AE9A9C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77825575,-88.17539632
936,MTR-936,RMT002,935020800000,0,A,Underground,{4D3CD219-5F22-4431-A98B-C60BC0702DAE},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77851567,-88.17468542
937,MTR-937,RMT002,935020800000,0,A,Underground,{49C2AE01-A871-4A34-900A-D3E0B285FF10},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77841889,-88.17447093
938,MTR-938,RMT002,935020800000,0,A,Underground,{33180D3A-2501-4715-8DDA-128A39B8CFA9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77802148,-88.17419678
939,MTR-939,RMT002,935020800000,0,A,Underground,{2BC2D447-8094-43C4-8D39-3BAF903163B4},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77798339,-88.17436263
940,MTR-940,RMT002,935020800000,0,A,Underground,{766EF696-0B8A-48A6-B696-A1078C8836D4},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77772611,-88.17492259
941,MTR-941,RMT002,935020800000,0,A,Underground,{EA2C43ED-8219-402D-BE2A-A589274A6AAC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77766463,-88.17504631
942,MTR-942,RMT002,935020800000,0,A,Underground,{1852D496-F661-4B0F-8135-E78BC275646A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77746702,-88.17547384
943,MTR-943,RMT002,935020800000,0,A,Underground,{5609DF8D-CD7F-4BE4-8E0C-F9FCC936186D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77740723,-88.17561707
944,MTR-944,RMT002,935020800000,0,A,Underground,{FC7F4C2F-174C-468C-9C9B-ADA29E74A378},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77721583,-88.17603832
945,MTR-945,RMT002,935020800000,0,A,Underground,{6B0F6F00-161B-45E6-9722-8118FB7C6F81},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77714526,-88.17619009
946,MTR-946,RMT002,935020800000,0,A,Underground,{BE66951B-85C0-48D3-BD65-6A5FDB3927DB},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77675575,-88.1759788
947,MTR-947,RMT002,220924800000,0,A,Underground,{D10B2E5F-9DB5-4E72-84B3-304F40028386},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77684824,-88.17581918
948,MTR-948,RMT002,504921600000,0,A,Underground,{B3459F1E-B02E-4C76-B8A5-B344846C3723},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77693702,-88.17560067
949,MTR-949,RMT002,283996800000,0,A,Underground,{B8CADBEC-3A3A-4DE4-AD98-1D1387FD07AC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77708,-88.17530171
950,MTR-950,RMT002,220924800000,0,A,Underground,{4C20E030-2232-4347-80BC-60B3011B7FC0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7770987,-88.17507879
951,MTR-951,RMT002,220924800000,0,A,Underground,{D32A1882-450E-4E9C-BF24-2D3B2909BAE7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77736112,-88.17478756
952,MTR-952,RMT002,220924800000,0,A,Underground,{E9B05A4C-9E29-4CE1-9FAE-C072637F9AE9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77742883,-88.17465852
953,MTR-953,RMT002,189302400000,0,A,Underground,{6B865F9A-6A1B-4732-A4DF-C0C0D0828229},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77754061,-88.17449414
954,MTR-954,RMT002,220924800000,0,A,Underground,{320E5CE4-78C2-4DC4-A520-DCDA4DE3DFD2},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77768971,-88.17413437
955,MTR-955,RMT002,189302400000,0,A,Underground,{32370A03-17AF-49DD-B1C4-5C0CB8EDCF8F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77775588,-88.17399034
956,MTR-956,RMT002,220924800000,0,A,Underground,{27A87BCF-F098-4242-901A-348153823E8D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77788143,-88.17361977
957,MTR-957,RMT002,283996800000,0,A,Underground,{05540346-E216-4E32-9535-8536C9D049C1},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77793824,-88.17348194
958,MTR-958,RMT002,220924800000,0,A,Underground,{2E1B14A3-CA9E-4921-9B8E-E99C55767A66},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7780409,-88.17307324
959,MTR-959,RMT002,567993600000,0,A,Underground,{3A2AFDC8-5D21-439C-8F07-EB7555BA35AA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7780975,-88.17297786
960,MTR-960,RMT002,220924800000,0,A,Underground,{7ADA2C25-84E8-4D2A-9EA8-2840DE3F8EDE},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77817903,-88.17253962
961,MTR-961,RMT002,220924800000,0,A,Underground,{4CBBC333-C6CA-4C0B-ACCA-8C084BA6138B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77818259,-88.17240304
962,MTR-962,RMT002,189302400000,0,A,Underground,{B9837047-3A64-429E-BAF1-F80EFFE2230F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77814981,-88.17196041
963,MTR-963,RMT002,220924800000,0,A,Underground,{D20C1298-C4C5-496B-AF45-D32117D9FFEF},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77813553,-88.17179971
964,MTR-964,RMT002,567993600000,0,A,Underground,{66C5E855-AD69-4D3E-BE36-59F2EE813025},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77809743,-88.17137808
965,MTR-965,RMT002,935020800000,0,A,Underground,{EA0E742C-D39F-4E58-BB66-FD82E3CAE0DF},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77799445,-88.17128326
966,MTR-966,RMT002,252460800000,0,A,Underground,{C0329CCD-0D29-4FB3-BFCC-8C422DCD6E15},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77786539,-88.17084878
967,MTR-967,RMT002,220924800000,0,A,Underground,{3ADDB4B5-8257-4D79-B149-15657EC31E19},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77778122,-88.17076713
968,MTR-968,RMT002,220924800000,0,A,Underground,{DA443EE7-8649-4A36-B42B-78B5A23DBF15},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77757631,-88.17038357
969,MTR-969,RMT002,935020800000,0,A,Underground,{676B535F-68C6-460A-BB7C-E7BABADDC051},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77755637,-88.17026262
970,MTR-970,RMT002,473385600000,0,A,Underground,{3D5903C9-EF50-4F13-A148-65A5EBBC951A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77475823,-88.17387118
971,MTR-971,RMT002,441763200000,0,A,Underground,{F92375D3-23EA-497E-BDAB-9AC8E6CF652A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77474256,-88.17374671
972,MTR-972,RMT002,473385600000,0,A,Underground,{EFD24E2A-E2DD-4C60-AD02-82AB0CADED7E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77492211,-88.17333945
973,MTR-973,RMT002,441763200000,0,A,Underground,{56075741-FBB3-446E-A7AD-1E8F308DB1B7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77492069,-88.17321878
974,MTR-974,RMT002,441763200000,0,A,Underground,{926B9396-DA53-4B18-B0BF-741113BC446C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77498455,-88.17292989
975,MTR-975,RMT002,410227200000,0,A,Underground,{FE20EFC0-6C02-4612-9378-CADAAA3A7666},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77504424,-88.17243525
976,MTR-976,RMT002,378691200000,0,A,Underground,{F5FAB9DC-C062-47C0-820B-7C15F2DFAEAC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77506236,-88.17231337
977,MTR-977,RMT002,935020800000,0,A,Underground,{1B83E84B-3781-471A-9620-9B7CFCC3F972},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77515325,-88.17194566
978,MTR-978,RMT002,935020800000,0,A,Underground,{A55D2A68-2747-43A8-923A-5180E0D7095B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77533496,-88.17199219
979,MTR-979,RMT002,63072000000,0,A,Underground,{614FE72E-74FD-4D39-A3E6-F89680FBF6D8},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77533601,-88.172312
980,MTR-980,RMT002,63072000000,0,A,Underground,{5D283100-42B8-4581-9D26-FC2AF3AD79EA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77532605,-88.1724335
981,MTR-981,RMT002,94694400000,0,A,Underground,{8E510EFA-122B-4249-B8BB-CC19B39CDB77},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77530282,-88.17290727
982,MTR-982,RMT002,94694400000,0,A,Underground,{C7045B3D-AB65-4F4B-90DF-EA4C41D23060},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7752662,-88.17299964
983,MTR-983,RMT002,94694400000,0,A,Underground,{09342D78-4AA6-4DD9-B149-E5DFFCE882F0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77525104,-88.17349665
984,MTR-984,RMT002,31536000000,0,A,Underground,{63FD4B38-EDF2-4BCF-B5A1-5A51139BE827},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77519472,-88.17356753
985,MTR-985,RMT002,94694400000,0,A,Underground,{971DA59B-4BDB-42A5-ACEA-520034EBF5ED},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77518909,-88.173929
986,MTR-986,RMT002,441763200000,0,A,Underground,{1AC7DE9C-50E5-4C6F-8438-182D5D82BB2A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77506638,-88.17389205
987,MTR-987,RMT002,504921600000,0,A,Underground,{5B11483C-C082-41A5-86D1-C41F05EC51F3},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77438999,-88.17480937
988,MTR-988,RMT002,473385600000,0,A,Underground,{44A38071-AC21-40DB-8EE3-FF03FCC8F170},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77451883,-88.17459879
989,MTR-989,RMT002,441763200000,0,A,Underground,{CD271D23-75BF-44E0-83C4-078BE47397C3},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77473955,-88.1745988
990,MTR-990,RMT002,441763200000,0,A,Underground,{99BDEFF1-2D5F-43F4-A69E-C44F0C24D042},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77484724,-88.17461379
991,MTR-991,RMT002,935020800000,0,A,Underground,{88D1088B-0EB6-4C66-A1EE-77EFA483B81E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77481922,-88.1749207
992,MTR-992,RMT002,935020800000,0,A,Underground,{D9313CB2-FD54-4A71-AA20-8781A5EC2B01},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77469213,-88.17488946
993,MTR-993,RMT002,935020800000,0,A,Underground,{1C05177B-3A32-4259-858A-393C7299E2B5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77523073,-88.17501111
994,MTR-994,RMT002,935020800000,0,A,Underground,{501F8FD7-EA7B-42FA-BBE9-E7F90402E317},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77547278,-88.17503749
995,MTR-995,RMT002,935020800000,0,A,Underground,{FD7FD663-2D22-4436-92F6-ADBAA71543CC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77556873,-88.17503593
996,MTR-996,RMT002,63072000000,0,A,Underground,{F975A02C-29A8-4B44-99E0-9CD3A56461CB},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7755975,-88.17479998
997,MTR-997,RMT002,63072000000,0,A,Underground,{DB30CEAE-0CF2-4510-B92C-B343D3DF8D7F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77552567,-88.17467795
998,MTR-998,RMT002,63072000000,0,A,Underground,{BED9F24B-1935-40FF-A5D4-5B9FAF9C27B5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77527772,-88.17465553
999,MTR-999,RMT002,94694400000,0,A,Underground,{A86D5044-0A98-4E74-96E3-2A66672DE399},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77598041,-88.17483203
1000,MTR-1000,RMT002,94694400000,0,A,Underground,{20F0E08D-EC88-4348-BF10-7B2BCE1341C6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77621851,-88.17488357
1001,MTR-1001,RMT002,63072000000,0,A,Underground,{78D2CC4E-1BCF-46D5-B38B-7BBAFE27371A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77624152,-88.17501814
1002,MTR-1002,RMT002,935020800000,0,A,Underground,{297CA815-5711-49F2-93BD-119DB3AF7AB6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77611546,-88.17527633
1003,MTR-1003,RMT002,935020800000,0,A,Underground,{5F0A3A02-398D-41F4-B38F-52C94617784C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77594407,-88.1752707
1004,MTR-1004,RMT002,189302400000,0,A,Underground,{6FF8BAA0-4AA5-4DC1-A368-AA3268FD54D2},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77635495,-88.17537678
1005,MTR-1005,RMT002,157766400000,0,A,Underground,{24232962-7181-487D-9405-77A40D365C8C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77644918,-88.17522162
1006,MTR-1006,RMT002,94694400000,0,A,Underground,{3AF53DED-AB0D-41DE-B4A9-B954C9894066},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77683169,-88.17441676
1007,MTR-1007,RMT002,31536000000,0,A,Underground,{1F9632BC-823D-44CF-86E7-BDFD80067047},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77661072,-88.17427155
1008,MTR-1008,RMT002,220924800000,0,A,Underground,{C58AA591-4589-4AE1-A1B1-FD0E1AA72BD1},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77673834,-88.17400206
1009,MTR-1009,RMT002,94694400000,0,A,Underground,{F7837B50-A599-44A5-B69E-2DB31BCA7D3D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77691946,-88.17424937
1010,MTR-1010,RMT002,63072000000,0,A,Underground,{92C8DA18-56E3-4ED2-9F55-0C4FDD959A7C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77667596,-88.17392537
1011,MTR-1011,RMT002,31536000000,0,A,Underground,{333C4603-B949-4556-928A-8F15FF678501},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77655631,-88.17417479
1012,MTR-1012,RMT002,31536000000,0,A,Underground,{8EDA014B-9C23-4F94-BCC7-532AD3159D04},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77617953,-88.17404293
1013,MTR-1013,RMT002,63072000000,0,A,Underground,{1D448C39-5E8A-4094-ACDA-04E5652E0099},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77625935,-88.17368485
1014,MTR-1014,RMT002,63072000000,0,A,Underground,{AF38711F-3698-4CEF-BDFF-15F8D86771C1},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77638192,-88.17367421
1015,MTR-1015,RMT002,63072000000,0,A,Underground,{FFCFBD34-0E28-40B3-83E4-F791716F09ED},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77595741,-88.17367454
1016,MTR-1016,RMT002,63072000000,0,A,Underground,{FDED2230-384C-4245-A12E-2E06E1794E01},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77582354,-88.17365009
1017,MTR-1017,RMT002,63072000000,0,A,Underground,{A8E6DF63-8F22-4A87-8564-885CBB73FDD9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77579798,-88.17387168
1018,MTR-1018,RMT002,31536000000,0,A,Underground,{68B80068-2538-4E83-BC9C-2DD0A8C2A7D9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77593298,-88.17402658
1019,MTR-1019,RMT002,63072000000,0,A,Underground,{47CCB28A-1B7B-474D-9FE5-5306C1CCAAF9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77691795,-88.17309336
1020,MTR-1020,RMT002,31536000000,0,A,Underground,{BFBFFDEB-12C4-4BFE-AE2A-CD27C8DC498B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77689821,-88.17293139
1021,MTR-1021,RMT002,63072000000,0,A,Underground,{43969692-9A60-42F0-912D-871828562734},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77686875,-88.17264977
1022,MTR-1022,RMT002,31536000000,0,A,Underground,{A6AEBAB1-A8B4-4879-B4B6-4AB7F3A1A8C1},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77719699,-88.17232081
1023,MTR-1023,RMT002,63072000000,0,A,Underground,{3218901E-1416-4E11-A2AF-F55960F66CEB},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77719236,-88.17191761
1024,MTR-1024,RMT002,63072000000,0,A,Underground,{74496604-EDE2-4888-B5E0-F9B3A3728D92},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77704583,-88.1715723
1025,MTR-1025,RMT002,31536000000,0,A,Underground,{5E46AC9D-C1E3-4939-B635-A4A1753C3B5E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77677441,-88.17140726
1026,MTR-1026,RMT002,63072000000,0,A,Underground,{E0C992FE-8C84-466F-8F2F-C000A20E88B8},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77650174,-88.171587
1027,MTR-1027,RMT002,31536000000,0,A,Underground,{66DB2C3E-52FA-4D5C-A130-18AA054AC96F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77638939,-88.17169204
1028,MTR-1028,RMT002,63072000000,0,A,Underground,{60515587-3F2F-4AD9-A93D-0ADB404560E2},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77629792,-88.17207939
1029,MTR-1029,RMT002,63072000000,0,A,Underground,{0218ECB9-27ED-4758-B3ED-E912CC512A2E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77628127,-88.17247758
1030,MTR-1030,RMT002,63072000000,0,A,Underground,{EAFAB913-1772-4D50-9A2A-BB837EBB9C97},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77624512,-88.17260604
1031,MTR-1031,RMT002,63072000000,0,A,Underground,{A39B5037-8BAC-4B6F-876E-0A003298B21D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7762188,-88.17291235
1032,MTR-1032,RMT002,63072000000,0,A,Underground,{A7065B00-D533-420B-8B0F-EFE2A6EB1535},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77598283,-88.17286367
1033,MTR-1033,RMT002,31536000000,0,A,Underground,{2125CCD8-4A98-4181-A24D-833BED3A98CC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.77599537,-88.17251921
